,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33267,1725579,0001725579-20-000047,us-gaap:OperatingIncomeLoss,usd,2020-07-29,10-Q,"77,513",xbrl
33268,1725579,0001725579-20-000047,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2020-07-29,10-Q,"163,871",xbrl
33269,1725579,0001725579-20-000047,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2020-07-29,10-Q,"4,590",xbrl
33270,1725579,0001725579-20-000047,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2020-07-29,10-Q,"94,765",xbrl
33271,1725579,0001725579-20-000047,us-gaap:ShortTermInvestments,usd,2020-07-29,10-Q,"332,234",xbrl
33272,1725579,0001725579-20-000062,us-gaap:AssetsCurrent,usd,2020-11-05,10-Q,"556,830",xbrl
33273,1725579,0001725579-20-000062,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2020-11-05,10-Q,"90,515",xbrl
33274,1725579,0001725579-20-000062,us-gaap:GeneralAndAdministrativeExpense,usd,2020-11-05,10-Q,"66,733",xbrl
33275,1725579,0001725579-20-000062,us-gaap:GrossProfit,usd,2020-11-05,10-Q,"79,039",xbrl
33276,1725579,0001725579-20-000062,us-gaap:Liabilities,usd,2020-11-05,10-Q,"870,081",xbrl
33277,1725579,0001725579-20-000062,us-gaap:LiabilitiesCurrent,usd,2020-11-05,10-Q,"283,901",xbrl
33278,1725579,0001725579-20-000062,us-gaap:LongTermDebt,usd,2020-11-05,10-Q,"490,355",xbrl
33279,1725579,0001725579-20-000062,us-gaap:NetIncomeLoss,usd,2020-11-05,10-Q,"92,609",xbrl
33280,1725579,0001725579-20-000062,us-gaap:OperatingExpenses,usd,2020-11-05,10-Q,"333,116",xbrl
33281,1725579,0001725579-20-000062,us-gaap:OperatingIncomeLoss,usd,2020-11-05,10-Q,"39,697",xbrl
